City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Nova Sintra,CV,2023-07-28 21:20:09,14.8667,-24.7167,72.99,79,28,22.32
1,Edinburgh Of The Seven Seas,SH,2023-07-28 21:29:06,-37.0676,-12.3116,56.71,81,100,30.78
2,Waitangi,NZ,2023-07-28 21:29:07,-43.9535,-176.5597,50.83,95,86,8.01
3,Whitehorse,CA,2023-07-28 21:24:12,60.7161,-135.0538,77.77,38,20,6.91
4,Banyuls De La Marenda,FR,2023-07-28 21:29:07,42.4837,3.129,78.03,82,13,4.99
5,Chemax,MX,2023-07-28 21:29:07,20.65,-87.9333,93.02,49,88,3.22
6,Invercargill,NZ,2023-07-28 21:24:17,-46.4,168.35,46.02,84,100,1.99
7,Port Mathurin,MU,2023-07-28 21:29:08,-19.6833,63.4167,73.47,80,8,13.04
8,Penedo,BR,2023-07-28 21:29:08,-10.2903,-36.5864,71.78,83,9,5.41
9,Bethel,US,2023-07-28 21:29:08,41.3712,-73.414,93.02,60,20,8.05
10,Tiksi,RU,2023-07-28 21:29:08,71.6872,128.8694,43.0,70,23,4.63
11,Margaret River,AU,2023-07-28 21:29:08,-33.95,115.0667,58.28,76,94,17.76
12,Kodiak,US,2023-07-28 21:29:08,57.79,-152.4072,58.51,82,75,11.5
13,Badger,US,2023-07-28 21:29:09,64.8,-147.5333,77.99,56,75,3.44
14,Suzhou,CN,2023-07-28 21:29:09,31.3114,120.6181,78.91,93,100,19.3
15,Somerset,US,2023-07-28 21:27:03,40.5668,-74.5496,96.15,53,0,4.0
16,Monte Azul,BR,2023-07-28 21:29:09,-15.155,-42.8747,75.61,54,96,2.28
17,Amga,RU,2023-07-28 21:29:09,60.8953,131.9608,60.01,62,49,1.36
18,Albany,US,2023-07-28 21:25:26,42.6001,-73.9662,91.67,60,13,1.99
19,Ushuaia,AR,2023-07-28 21:26:26,-54.8,-68.3,40.66,70,40,10.36
20,Port-Aux-Francais,TF,2023-07-28 21:29:10,-49.35,70.2167,39.58,74,100,25.7
21,Longyearbyen,SJ,2023-07-28 21:29:10,78.2186,15.6401,46.24,81,75,5.75
22,Kilimatinde,TZ,2023-07-28 21:29:10,-5.85,34.95,65.23,64,14,4.16
23,Fort Bragg,US,2023-07-28 21:29:10,35.139,-79.006,95.58,64,75,10.36
24,Piedras Blancas,AR,2023-07-28 21:29:11,-31.1862,-59.9596,56.48,51,0,6.22
25,Nema,RU,2023-07-28 21:29:11,57.5067,50.5011,66.16,84,100,2.95
26,Wailua Homesteads,US,2023-07-28 21:29:11,22.0669,-159.378,84.99,71,33,17.27
27,Anadyr,RU,2023-07-28 21:29:11,64.75,177.4833,54.1,81,40,11.18
28,Tsiombe,MG,2023-07-28 21:29:11,-25.3,45.4833,63.32,92,0,5.03
29,Port Elizabeth,ZA,2023-07-28 21:25:25,-33.918,25.5701,61.09,88,75,13.8
30,Morehead City,US,2023-07-28 21:29:12,34.7229,-76.726,87.04,83,20,12.66
31,Grytviken,GS,2023-07-28 21:29:12,-54.2811,-36.5092,29.91,89,59,10.83
32,Papatowai,NZ,2023-07-28 21:29:12,-46.5619,169.4708,45.05,69,100,5.44
33,Ust-Nera,RU,2023-07-28 21:29:12,64.5667,143.2,57.7,43,44,4.07
34,Okhotsk,RU,2023-07-28 21:29:12,59.3833,143.3,56.39,95,100,6.13
35,Hawaiian Paradise Park,US,2023-07-28 21:29:14,19.5933,-154.9731,81.91,74,100,4.61
36,Yellowknife,CA,2023-07-28 21:28:57,62.456,-114.3525,72.12,60,100,8.05
37,Qaqortoq,GL,2023-07-28 21:29:14,60.7167,-46.0333,47.41,70,100,6.96
38,Luganville,VU,2023-07-28 21:29:14,-15.5333,167.1667,73.49,75,98,11.52
39,Puerto Natales,CL,2023-07-28 21:29:14,-51.7236,-72.4875,35.78,96,97,2.26
40,College,US,2023-07-28 21:25:47,64.8569,-147.8028,78.08,58,75,3.44
41,Qarqaraly,KZ,2023-07-28 21:29:15,49.4058,75.4742,61.9,56,34,5.46
42,Constantia,RO,2023-07-28 21:29:15,44.1833,28.65,65.08,65,0,16.02
43,Suva,FJ,2023-07-28 21:29:15,-18.1416,178.4415,72.88,73,75,4.61
44,Joshimath,IN,2023-07-28 21:29:15,30.5667,79.5667,68.95,89,85,1.52
45,Bodo,NO,2023-07-28 21:29:16,67.28,14.405,58.77,89,75,4.61
46,Amos,CA,2023-07-28 21:30:18,48.5669,-78.1162,63.05,62,77,10.8
47,Adamstown,PN,2023-07-28 21:30:20,-25.066,-130.1015,67.23,71,23,23.89
48,Ouarzazat,MA,2023-07-28 21:30:21,30.9189,-6.8934,97.09,7,0,10.36
49,Ilulissat,GL,2023-07-28 21:22:40,69.2167,-51.1,42.82,93,75,4.61
50,Hultsfred,SE,2023-07-28 21:30:21,57.4882,15.8436,53.26,84,2,4.85
51,Puerto Baquerizo Moreno,EC,2023-07-28 21:30:21,-0.9,-89.6,77.99,73,100,2.3
52,Portland,US,2023-07-28 21:26:46,45.5234,-122.6762,84.63,48,0,5.01
53,Lihue,US,2023-07-28 21:30:22,21.9789,-159.3672,85.59,63,26,17.27
54,Kyzyl-Mazhalyk,RU,2023-07-28 21:30:22,51.1333,90.6,59.94,94,91,2.57
55,Luderitz,NA,2023-07-28 21:30:22,-26.6481,15.1594,53.44,95,100,7.76
56,Gamba,GA,2023-07-28 21:30:22,-2.65,10.0,69.39,92,44,6.08
57,Iwanai,JP,2023-07-28 21:30:23,42.9744,140.5089,78.96,79,97,4.74
58,Cabo San Lucas,MX,2023-07-28 21:22:46,22.8909,-109.9124,92.61,55,40,18.41
59,Blackmans Bay,AU,2023-07-28 21:30:23,-43.0167,147.3167,54.73,68,100,6.78
60,Stanley,GB,2023-07-28 21:30:24,54.868,-1.6985,62.19,77,0,6.91
61,Burnie,AU,2023-07-28 21:28:36,-41.0667,145.9167,53.46,92,98,11.18
62,Iqaluit,CA,2023-07-28 21:30:24,63.7506,-68.5145,51.53,66,75,4.61
63,Avarua,CK,2023-07-28 21:27:38,-21.2078,-159.775,77.05,78,75,4.61
64,Yarmouth,US,2023-07-28 21:30:24,41.7057,-70.2286,86.09,71,0,14.97
